"Track_ID","Track_Name","Class_ID"
"197","Papu Pyramid","10"
"198","Papu Pyramid","11"
"199","Dragon Mines","10"
"200","Dragon Mines","11"
"201","Polar Pass","10"
"202","Polar Pass","11"
"203","Cortex Castle","10"
"204","Cortex Castle","11"
"205","Tiny Arena","10"
"206","Tiny Arena","11"
"207","Hot Air Skyway","10"
"208","Hot Air Skyway","11"
"209","N.Gin Labs","10"
"210","N.Gin Labs","11"
"211","Oxide Station","10"
"212","Oxide Station","11"
"213","Slide Coliseum","10"
"214","Slide Coliseum","11"
"215","Turbo Track","10"
"216","Turbo Track","11"
