"Track_ID","Standard_ID","Standard_Time"
"8","4","23.50"
"8","5","23.62"
"8","6","23.75"
"8","7","23.87"
"8","8","24.00"
"8","9","24.12"
"8","10","24.25"
"8","11","24.37"
"8","12","24.50"
"8","13","24.62"
"8","14","24.75"
"8","15","24.87"
"8","16","25.00"
"8","17","25.25"
"8","18","25.50"
"8","19","25.75"
"8","20","26.00"
"8","21","26.25"
"8","22","26.50"
"8","23","26.75"
"8","24","27.00"
"8","25","27.50"
"8","26","28.00"
"8","27","28.50"
"8","28","29.00"
"8","29","30.50"
"8","30","32.00"
"8","31","33.50"
"8","32","35.00"
"8","33","999.99"
"9","-4","110.70"
"9","-3","110.90"
"9","-2","111.10"
"9","-1","111.30"
"9","0","111.50"
"9","1","111.75"
"9","2","112.00"
"9","3","112.25"
"9","4","112.50"
"9","5","112.87"
"9","6","113.25"
"9","7","113.62"
"9","8","114.00"
"9","9","114.50"
"9","10","115.00"
"9","11","115.50"
"9","12","116.00"
"9","13","116.50"
"9","14","117.00"
"9","15","117.50"
"9","16","118.00"
"9","17","119.25"
"9","18","120.50"
"9","19","121.75"
"9","20","123.00"
"9","21","124.50"
"9","22","126.00"
"9","23","127.50"
"9","24","129.00"
"9","25","130.75"
"9","26","132.50"
"9","27","134.25"
"9","28","136.00"
"9","29","142.00"
"9","30","148.00"
"9","31","154.00"
"9","32","160.00"
"9","33","999.99"
"10","-4","36.00"
"10","-3","36.07"
"10","-2","36.15"
"10","-1","36.22"
"10","0","36.30"
"10","1","36.40"
"10","2","36.50"
"10","3","36.60"
"10","4","36.70"
"10","5","36.82"
"10","6","36.95"
"10","7","37.07"
"10","8","37.20"
"10","9","37.40"
"10","10","37.60"
"10","11","37.80"
"10","12","38.00"
"10","13","38.20"
"10","14","38.40"
"10","15","38.60"
"10","16","38.80"
"10","17","39.10"
"10","18","39.40"
"10","19","39.70"
"10","20","40.00"
"10","21","40.50"
"10","22","41.00"
"10","23","41.50"
"10","24","42.00"
"10","25","42.75"
"10","26","43.50"
"10","27","44.25"
"10","28","45.00"
"10","29","46.75"
"10","30","48.50"
"10","31","50.25"
"10","32","52.00"
"10","33","999.99"
"11","-4","65.50"
"11","-3","65.75"
"11","-2","66.00"
"11","-1","66.25"
"11","0","66.50"
"11","1","66.77"
"11","2","67.05"
"11","3","67.32"
"11","4","67.60"
"11","5","67.90"
"11","6","68.20"
"11","7","68.50"
"11","8","68.80"
"11","9","69.10"
"11","10","69.40"
"11","11","69.70"
"11","12","70.00"
"11","13","70.50"
"11","14","71.00"
"11","15","71.50"
"11","16","72.00"
"11","17","72.75"
"11","18","73.50"
"11","19","74.25"
"11","20","75.00"
"11","21","76.25"
"11","22","77.50"
"11","23","78.75"
"11","24","80.00"
"11","25","82.50"
"11","26","85.00"
"11","27","87.50"
"11","28","90.00"
"11","29","97.50"
"11","30","105.00"
"11","31","112.50"
"11","32","120.00"
"11","33","999.99"
"12","-4","20.20"
"12","-3","20.35"
"12","-2","20.50"
"12","-1","20.65"
"12","0","20.80"
"12","1","20.97"
"12","2","21.15"
"12","3","21.32"
"12","4","21.50"
"12","5","21.62"
"12","6","21.75"
"12","7","21.87"
"12","8","22.00"
"12","9","22.12"
"12","10","22.25"
"12","11","22.37"
"12","12","22.50"
"12","13","22.62"
"12","14","22.75"
"12","15","22.87"
"12","16","23.00"
"12","17","23.25"
"12","18","23.50"
"12","19","23.75"
"12","20","24.00"
"12","21","24.37"
"12","22","24.75"
"12","23","25.12"
"12","24","25.50"
"12","25","26.37"
"12","26","27.25"
"12","27","28.12"
"12","28","29.00"
"12","29","31.50"
"12","30","34.00"
"12","31","36.50"
"12","32","39.00"
"12","33","999.99"
"13","-4","96.70"
"13","-3","96.90"
"13","-2","97.10"
"13","-1","97.30"
"13","0","97.50"
"13","1","97.80"
"13","2","98.10"
"13","3","98.40"
"13","4","98.70"
"13","5","99.15"
"13","6","99.60"
"13","7","100.05"
"13","8","100.50"
"13","9","101.00"
"13","10","101.50"
"13","11","102.00"
"13","12","102.50"
"13","13","103.12"
"13","14","103.75"
"13","15","104.37"
"13","16","105.00"
"13","17","105.50"
"13","18","106.00"
"13","19","106.50"
"13","20","107.00"
"13","21","108.00"
"13","22","109.00"
"13","23","110.00"
"13","24","111.00"
"13","25","113.00"
"13","26","115.00"
"13","27","117.00"
"13","28","119.00"
"13","29","128.00"
"13","30","137.00"
"13","31","146.00"
"13","32","155.00"
"13","33","999.99"
"14","-4","30.90"
"14","-3","31.02"
"14","-2","31.15"
"14","-1","31.27"
"14","0","31.40"
"14","1","31.52"
"14","2","31.65"
"14","3","31.77"
"14","4","31.90"
"14","5","32.10"
"14","6","32.30"
"14","7","32.50"
"14","8","32.70"
"14","9","32.90"
"14","10","33.10"
"14","11","33.30"
"14","12","33.50"
"14","13","33.62"
"14","14","33.75"
"14","15","33.87"
"14","16","34.00"
"14","17","34.25"
"14","18","34.50"
"14","19","34.75"
"14","20","35.00"
"14","21","35.25"
"14","22","35.50"
"14","23","35.75"
"14","24","36.00"
"14","25","36.75"
"14","26","37.50"
"14","27","38.25"
"14","28","39.00"
"14","29","41.75"
"14","30","44.50"
"14","31","47.25"
"14","32","50.00"
"14","33","999.99"
"15","-4","81.60"
"15","-3","81.75"
"15","-2","81.90"
"15","-1","82.05"
"15","0","82.20"
"15","1","82.40"
"15","2","82.60"
"15","3","82.80"
"15","4","83.00"
"15","5","83.37"
"15","6","83.75"
"15","7","84.12"
"15","8","84.50"
"15","9","84.87"
"15","10","85.25"
"15","11","85.62"
"15","12","86.00"
"15","13","86.50"
"15","14","87.00"
"15","15","87.50"
"15","16","88.00"
"15","17","89.00"
"15","18","90.00"
"15","19","91.00"
"15","20","92.00"
"15","21","93.00"
"15","22","94.00"
"15","23","95.00"
"15","24","96.00"
"15","25","97.50"
"15","26","99.00"
"15","27","100.50"
"15","28","102.00"
"15","29","107.00"
"15","30","112.00"
"15","31","117.00"
"15","32","122.00"
"15","33","999.99"
"16","-4","25.60"
"16","-3","25.70"
"16","-2","25.80"
"16","-1","25.90"
"16","0","26.00"
"16","1","26.12"
"16","2","26.25"
"16","3","26.37"
"16","4","26.50"
"16","5","26.62"
"16","6","26.75"
"16","7","26.87"
"16","8","27.00"
"16","9","27.12"
"16","10","27.25"
"16","11","27.37"
"16","12","27.50"
"16","13","27.75"
"16","14","28.00"
"16","15","28.25"
"16","16","28.50"
"16","17","28.75"
"16","18","29.00"
"16","19","29.25"
"16","20","29.50"
"16","21","29.75"
"16","22","30.00"
"16","23","30.25"
"16","24","30.50"
"16","25","31.12"
"16","26","31.75"
"16","27","32.37"
"16","28","33.00"
"16","29","34.75"
"16","30","36.50"
"16","31","38.25"
"16","32","40.00"
"16","33","999.99"
"17","-4","70.50"
"17","-3","70.67"
"17","-2","70.85"
"17","-1","71.02"
"17","0","71.20"
"17","1","71.40"
"17","2","71.60"
"17","3","71.80"
"17","4","72.00"
"17","5","72.25"
"17","6","72.50"
"17","7","72.75"
"17","8","73.00"
"17","9","73.37"
"17","10","73.75"
"17","11","74.12"
"17","12","74.50"
"17","13","75.37"
"17","14","76.25"
"17","15","77.12"
"17","16","78.00"
"17","17","79.75"
"17","18","81.50"
"17","19","83.25"
"17","20","85.00"
"17","21","88.00"
"17","22","91.00"
"17","23","94.00"
"17","24","97.00"
"17","25","99.75"
"17","26","102.50"
"17","27","105.25"
"17","28","108.00"
"17","29","116.00"
"17","30","124.00"
"17","31","132.00"
"17","32","140.00"
"17","33","999.99"
"18","-4","21.10"
"18","-3","21.20"
"18","-2","21.30"
"18","-1","21.40"
"18","0","21.50"
"18","1","21.67"
"18","2","21.85"
"18","3","22.02"
